"Fecha","Cierre","Apertura","Máximo","Mínimo","% var."
"06.06.2024","10.123","10.180","10.180","10.100","-0.52%"
"05.06.2024","10.176","10.301","10.301","10.176","-1.24%"
"04.06.2024","10.304","10.304","10.323","10.304","-0.11%"
"03.06.2024","10.315","10.260","10.315","10.260","1.89%"
"01.06.2024","10.124","10.124","10.124","10.124","3.67%"
"31.05.2024","9.766","9.780","9.835","9.774","-0.41%"
"30.05.2024","9.806","9.807","9.814","9.807","-0.10%"
"29.05.2024","9.816","9.860","9.860","9.824","0.41%"
"28.05.2024","9.776","9.796","9.796","9.780","0.41%"
"27.05.2024","9.736","9.810","9.810","9.744","-3.60%"
"25.05.2024","10.100","10.100","10.100","10.100","3.85%"
"24.05.2024","9.726","9.796","9.796","9.734","-0.10%"
"23.05.2024","9.736","9.756","9.756","9.744","0.31%"
"22.05.2024","9.706","9.710","9.714","9.700","0.73%"
"21.05.2024","9.636","9.672","9.672","9.644","-0.41%"
"20.05.2024","9.676","9.720","9.720","9.684","-3.61%"
"18.05.2024","10.038","10.038","10.038","10.038","3.85%"
"17.05.2024","9.666","9.657","9.674","9.657","0.31%"
"16.05.2024","9.636","9.675","9.675","9.644","0.31%"
"15.05.2024","9.606","9.633","9.633","9.613","-0.93%"
"14.05.2024","9.696","9.727","9.727","9.704","-0.31%"
"13.05.2024","9.726","9.701","9.744","9.701","-3.77%"
"11.05.2024","10.108","10.108","10.108","10.108","3.82%"
"10.05.2024","9.736","9.760","9.760","9.744","1.14%"
"09.05.2024","9.626","9.623","9.634","9.565","0.00%"
"08.05.2024","9.626","9.613","9.634","9.613","0.21%"
"07.05.2024","9.606","9.553","9.614","9.553","0.31%"
"06.05.2024","9.576","9.624","9.624","9.584","-3.50%"
"04.05.2024","9.923","9.923","9.923","9.923","3.84%"
"03.05.2024","9.556","9.674","9.686","9.564","-1.75%"
"02.05.2024","9.726","9.817","9.817","9.734","-5.92%"
"01.05.2024","10.338","10.338","10.338","10.338","3.94%"
"30.04.2024","9.946","9.967","9.967","9.951","-0.40%"
"29.04.2024","9.986","9.998","9.998","9.978","-3.58%"
"27.04.2024","10.357","10.357","10.357","10.357","4.24%"
"26.04.2024","9.936","10.032","10.032","9.944","0.00%"
"25.04.2024","9.936","9.974","9.990","9.944","0.03%"
"24.04.2024","9.933","9.970","9.970","9.950","0.68%"
"23.04.2024","9.866","9.880","9.897","9.874","-0.20%"
"22.04.2024","9.886","9.888","9.894","9.888","-3.13%"
"20.04.2024","10.205","10.205","10.205","10.205","2.61%"
"19.04.2024","9.946","9.909","10.015","9.909","-0.50%"
"18.04.2024","9.996","10.005","10.023","10.004","0.81%"
"17.04.2024","9.916","10.033","10.033","9.924","-1.49%"
"16.04.2024","10.066","10.117","10.117","10.074","1.21%"
"15.04.2024","9.946","9.967","9.973","9.954","-2.49%"
"13.04.2024","10.200","10.200","10.200","10.200","4.34%"
"12.04.2024","9.776","9.850","9.850","9.784","-0.20%"
"11.04.2024","9.796","9.927","9.927","9.804","-0.51%"
"10.04.2024","9.846","9.800","9.854","9.800","2.61%"
"09.04.2024","9.596","9.587","9.604","9.587","0.31%"
"08.04.2024","9.566","9.670","9.690","9.574","-4.08%"
"06.04.2024","9.972","9.972","9.972","9.972","4.25%"
"05.04.2024","9.566","9.578","9.607","9.574","1.27%"
"04.04.2024","9.446","9.540","9.540","9.454","0.00%"
"03.04.2024","9.446","9.498","9.498","9.454","0.21%"
"02.04.2024","9.426","9.440","9.450","9.434","0.75%"
"01.04.2024","9.356","9.395","9.395","9.364","-2.64%"
"28.03.2024","9.610","9.610","9.610","9.610","3.82%"
"27.03.2024","9.256","9.340","9.340","9.264","-0.22%"
"26.03.2024","9.276","9.408","9.408","9.284","-0.43%"
"25.03.2024","9.316","9.316","9.324","9.316","-2.49%"
"23.03.2024","9.554","9.554","9.554","9.554","3.89%"
"22.03.2024","9.196","9.200","9.217","9.200","0.55%"
"21.03.2024","9.146","9.170","9.220","9.154","-1.19%"
"20.03.2024","9.256","9.324","9.328","9.264","-0.22%"
"19.03.2024","9.276","9.297","9.297","9.284","-3.71%"
"16.03.2024","9.634","9.634","9.634","9.634","3.97%"
"15.03.2024","9.266","9.296","9.307","9.274","0.65%"
"14.03.2024","9.206","9.222","9.222","9.208","0.77%"
"13.03.2024","9.136","9.210","9.210","9.144","-0.33%"
"12.03.2024","9.166","9.220","9.225","9.174","0.22%"
"11.03.2024","9.146","9.244","9.244","9.154","-3.61%"
"09.03.2024","9.489","9.489","9.489","9.489","4.16%"
"08.03.2024","9.110","9.137","9.153","9.137","-0.18%"
"07.03.2024","9.126","9.155","9.160","9.134","0.00%"
